nodes,node_labels,adj_labels,adj_nodes
local-ahorrlodge4-1329106829.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['A H Orr Lodge', 'Audit', 'A H Orr Lodge']"
A.+G.+Eastwood+Hostel3377-6-cer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['A.G.Eastwood Hostel', 'Audit', 'A.G.Eastwood Hostel']"
A.+G.+Eastwood+Hostel3377-6-cera.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['A.G.Eastwood Hostel', 'Audit', 'A.G.Eastwood Hostel']"
a.-g.-eastwood-hostel3377-6.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['A.G.Eastwood Hostel', 'Audit', 'A.G.Eastwood Hostel']"
A.G.EastwoodHostel5.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['A.G.Eastwood Hostel', 'Audit', 'A.G.Eastwood Hostel']"
local-ageastwoodhostel3-1256683589.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['A.G.Eastwood Hostel', 'Audit', 'A.G.Eastwood Hostel']"
local-ageastwoodhostel4-1351726349.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['A.G.Eastwood Hostel', 'Audit', 'A.G.Eastwood Hostel']"
Abberfield+Aged+Care+Facility4002-6cer.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abberfield Aged Care Facility', 'Audit', 'Abberfield Aged Care Facility']"
Abberfield+Aged+Care+Facility4002-6cer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abberfield Aged Care Facility', 'Audit', 'Abberfield Aged Care Facility']"
abberfield-aged-care-facility4002-6.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abberfield Aged Care Facility', 'Audit', 'Abberfield Aged Care Facility']"
AbberfieldAgedCareFacility5.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abberfield Aged Care Facility', 'Audit', 'Abberfield Aged Care Facility']"
local-abberfieldagedcarefacility3-1252284087.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abberfield Aged Care Facility', 'Audit', 'Abberfield Aged Care Facility']"
local-abberfieldagedcarefacility4-1347586501.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abberfield Aged Care Facility', 'Audit', 'Abberfield Aged Care Facility']"
Abbey House Aged Care2610-7-cer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abbey House Aged Care', 'Audit', 'Abbey House Aged Care']"
Abbey House Aged Care2610-7-cera.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abbey House Aged Care', 'Audit', 'Abbey House Aged Care']"
Abbey House Aged Care2610-7.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abbey House Aged Care', 'Audit', 'Abbey House Aged Care']"
abbeyhouseagedcare2610-6.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abbey House Aged Care', 'Audit', 'Abbey House Aged Care']"
AbbeyfieldHouseHostel3164-8-cer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abbeyfield House Hostel', 'Audit', 'Abbeyfield House Hostel']"
AbbeyfieldHouseHostel3164-8-cera.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abbeyfield House Hostel', 'Audit', 'Abbeyfield House Hostel']"
abbeyfieldhousehostel3164-8.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abbeyfield House Hostel', 'Audit', 'Abbeyfield House Hostel']"
AbbeyfieldHouseHostel7.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abbeyfield House Hostel', 'Audit', 'Abbeyfield House Hostel']"
local-abbeyfieldhousehostel4-1247545858.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abbeyfield House Hostel', 'Audit', 'Abbeyfield House Hostel']"
local-abbeyfieldhousehostel6-1347944697.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abbeyfield House Hostel', 'Audit', 'Abbeyfield House Hostel']"
abel-tasman-village0356-8.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abel Tasman Village', 'Audit', 'Abel Tasman Village']"
AbelTasmanVillage0356-7-cer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abel Tasman Village', 'Audit', 'Abel Tasman Village']"
AbelTasmanVillage0356-7-cera.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abel Tasman Village', 'Audit', 'Abel Tasman Village']"
AbelTasmanVillage6.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abel Tasman Village', 'Audit', 'Abel Tasman Village']"
local-abeltasmanvillage4-1248158256.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abel Tasman Village', 'Audit', 'Abel Tasman Village']"
local-abeltasmanvillage5-1345421102.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abel Tasman Village', 'Audit', 'Abel Tasman Village']"
Abernethy+Nursing+Home2787-6cer.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abernethy Nursing Home', 'Audit', 'Abernethy Nursing Home']"
Abernethy+Nursing+Home2787-6cer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abernethy Nursing Home', 'Audit', 'Abernethy Nursing Home']"
abernethy-nursing-home2787-6.doc.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abernethy Nursing Home', 'Audit', 'Abernethy Nursing Home']"
AbernethyNursingHome5.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abernethy Nursing Home', 'Audit', 'Abernethy Nursing Home']"
local-abernethynursinghome3-1253600316.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abernethy Nursing Home', 'Audit', 'Abernethy Nursing Home']"
local-abernethynursinghome4-1349414693.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Abernethy Nursing Home', 'Audit', 'Abernethy Nursing Home']"
Acacia Living Group Meadow Springs Aged Care Facility7154-4.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Acacia Living Group Meadow Springs Aged', 'Audit', 'Acacia Living Group Meadow Springs Aged']"
Acacia Living Group Meadow Springs Aged Care Facility7154-5-cer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Acacia Living Group Meadow Springs Aged', 'Audit', 'Acacia Living Group Meadow Springs Aged']"
Acacia Living Group Meadow Springs Aged Care Facility7154-5-cera.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Acacia Living Group Meadow Springs Aged', 'Audit', 'Acacia Living Group Meadow Springs Aged']"
Acacia Living Group Meadow Springs Aged Care Facility7154-5.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Acacia Living Group Meadow Springs Aged', 'Audit', 'Acacia Living Group Meadow Springs Aged']"
Acacia Living Group Menora Gardens Aged Care Facility7151-5.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Acacia Living Group Meadow Springs Aged', 'Audit', 'Acacia Living Group Meadow Springs Aged']"
Acacia Living Group Menora Gardens Aged Care Facility7151-6-cer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Acacia Living Group Meadow Springs Aged', 'Audit', 'Acacia Living Group Meadow Springs Aged']"
Acacia Living Group Menora Gardens Aged Care Facility7151-6-cera.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Acacia Living Group Meadow Springs Aged', 'Audit', 'Acacia Living Group Meadow Springs Aged']"
Acacia Living Group Menora Gardens Aged Care Facility7151-6.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Acacia Living Group Meadow Springs Aged', 'Audit', 'Acacia Living Group Meadow Springs Aged']"
AcaciaHouseResidentialAgedCareService4.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Acacia Living Group Meadow Springs Aged', 'Audit', 'Acacia Living Group Meadow Springs Aged']"
AcaciaHouseResidentialAgedCareService4348-5-cer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Acacia Living Group Meadow Springs Aged', 'Audit', 'Acacia Living Group Meadow Springs Aged']"
AcaciaHouseResidentialAgedCareService4348-5-cera.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Acacia Living Group Meadow Springs Aged', 'Audit', 'Acacia Living Group Meadow Springs Aged']"
acaciahouseresidentialagedcareservice4348-5.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Acacia Living Group Meadow Springs Aged', 'Audit', 'Acacia Living Group Meadow Springs Aged']"
local-acaciahouseresidentialagedcareservice3-1319674840.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Acacia Living Group Meadow Springs Aged', 'Audit', 'Acacia Living Group Meadow Springs Aged']"
ACDMA Aged Hostel0365-7.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACDMA Aged Hostel', 'Audit', 'ACDMA Aged Hostel']"
ACDMA Aged Hostel0365-8-cer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACDMA Aged Hostel', 'Audit', 'ACDMA Aged Hostel']"
ACDMA Aged Hostel0365-8-cera.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACDMA Aged Hostel', 'Audit', 'ACDMA Aged Hostel']"
ACDMA Aged Hostel0365-8.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACDMA Aged Hostel', 'Audit', 'ACDMA Aged Hostel']"
ACDMA Aged Hostel0365-9.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACDMA Aged Hostel', 'Audit', 'ACDMA Aged Hostel']"
acdmaagedhostel0365-5.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACDMA Aged Hostel', 'Audit', 'ACDMA Aged Hostel']"
acdmaagedhostel1-115683088925896.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACDMA Aged Hostel', 'Audit', 'ACDMA Aged Hostel']"
ACDMAAgedHostel4.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACDMA Aged Hostel', 'Audit', 'ACDMA Aged Hostel']"
local-acdmaagedhostel2-1250743707.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACDMA Aged Hostel', 'Audit', 'ACDMA Aged Hostel']"
local-acdmaagedhostel3-1346912190.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACDMA Aged Hostel', 'Audit', 'ACDMA Aged Hostel']"
ACH Group Residential Care - Colton Court6980-8.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACH Group Residential Care', 'Audit', 'ACH Group Residential Care']"
ACH Group Residential Care - Kapara6805-6.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACH Group Residential Care', 'Audit', 'ACH Group Residential Care']"
ACH Group Residential Care - Milpara6930-10-cer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACH Group Residential Care', 'Audit', 'ACH Group Residential Care']"
ACH Group Residential Care - Milpara6930-10-cera.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACH Group Residential Care', 'Audit', 'ACH Group Residential Care']"
ACH Group Residential Care - Milpara6930-10_0.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACH Group Residential Care', 'Audit', 'ACH Group Residential Care']"
ACH Group Residential Care - Perry Park (high care)6950-6.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACH Group Residential Care', 'Audit', 'ACH Group Residential Care']"
ACH Group Residential Care - Perry Park (low Care)6021-6.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACH Group Residential Care', 'Audit', 'ACH Group Residential Care']"
ColtonCourtNursingHome7.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Colton Court Nursing', 'Audit', 'Colton Court Nursing']"
local-coltoncourtnursinghome4-1241068092.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Colton Court Nursing', 'Audit', 'Colton Court Nursing']"
local-coltoncourtnursinghome6-1340001988.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Colton Court Nursing', 'Audit', 'Colton Court Nursing']"
highercombe6289-5.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Highercombe', 'Audit', 'Highercombe']"
local-highercombe3-1344835635.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Highercombe', 'Audit', 'Highercombe']"
local-highercombe4-1373504062.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Highercombe', 'Audit', 'Highercombe']"
KaparaNursingHome5.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Kapara Nursing Home', 'Audit', 'Kapara Nursing Home']"
local-kaparanursinghome3-1235453651.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Kapara Nursing Home', 'Audit', 'Kapara Nursing Home']"
local-kaparanursinghome4-1329799863.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Kapara Nursing Home', 'Audit', 'Kapara Nursing Home']"
local-milparaagedcarefacility6-1344836364.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Milpara Aged Care Facility', 'Audit', 'Milpara Aged Care Facility']"
milparaagedcarefacility4-120520765397648.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Milpara Aged Care Facility', 'Audit', 'Milpara Aged Care Facility']"
MilparaAgedCareFacility9.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Milpara Aged Care Facility', 'Audit', 'Milpara Aged Care Facility']"
local-mingarrahostel3-1247460395.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Mingarra Hostel', 'Audit', 'Mingarra Hostel']"
local-mingarrahostel5-1346826827.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Mingarra Hostel', 'Audit', 'Mingarra Hostel']"
MingarraHostel3235-7-cer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Mingarra Hostel', 'Audit', 'Mingarra Hostel']"
MingarraHostel3235-7-cera.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Mingarra Hostel', 'Audit', 'Mingarra Hostel']"
mingarrahostel3235-7.doc,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Mingarra Hostel', 'Audit', 'Mingarra Hostel']"
MingarraHostel6.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Mingarra Hostel', 'Audit', 'Mingarra Hostel']"
local-perryparkhostel3-1238709306.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Perry Park Hostel', 'Audit', 'Perry Park Hostel']"
local-perryparkhostel4-1332456292.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Perry Park Hostel', 'Audit', 'Perry Park Hostel']"
PerryParkHostel5.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Perry Park Hostel', 'Audit', 'Perry Park Hostel']"
local-perryparknursinghome3-1239237826.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Perry Park Nursing Home', 'Audit', 'Perry Park Nursing Home']"
local-perryparknursinghome4-1332205852.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Perry Park Nursing Home', 'Audit', 'Perry Park Nursing Home']"
PerryParkNursingHome5.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Perry Park Nursing Home', 'Audit', 'Perry Park Nursing Home']"
local-rslmenoragardensagedcarefacility2-1252019562.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['RSL Menora Gardens Aged Care Facility', 'Audit', 'RSL Menora Gardens Aged Care Facility']"
local-rslmenoragardensagedcarefacility3-1348470088.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['RSL Menora Gardens Aged Care Facility', 'Audit', 'RSL Menora Gardens Aged Care Facility']"
RSLMenoraGardensAgedCareFacility4.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['RSL Menora Gardens Aged Care Facility', 'Audit', 'RSL Menora Gardens Aged Care Facility']"
local-rslwarveteranshomemandurah2-1254375169.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['RSL War Veterans Home Mandurah', 'Audit', 'RSL War Veterans Home Mandurah']"
local-rslwarveteranshomemandurah3-1350004760.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['RSL War Veterans Home Mandurah', 'Audit', 'RSL War Veterans Home Mandurah']"
RSLWarVeteransHomeMandurah4.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['RSL War Veterans Home Mandurah', 'Audit', 'RSL War Veterans Home Mandurah']"
local-theabbeynursinghome3-1238977326.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['The Abbey Nursing Home', 'Audit', 'The Abbey Nursing Home']"
local-theabbeynursinghome4-1334819734.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['The Abbey Nursing Home', 'Audit', 'The Abbey Nursing Home']"
TheAbbeyNursingHome5.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['The Abbey Nursing Home', 'Audit', 'The Abbey Nursing Home']"
aacqa_corporate_plan_2016_to_2020_accesible_website.pdf,FILE,"['FOLDER', 'CATEGORY']","['AACQA Corporate Plan', 'Corporate Plan']"
aacqa_corporate_plan_2016_to_2020_word_accessible_website.docx,FILE,"['FOLDER', 'CATEGORY']","['AACQA Corporate Plan', 'Corporate Plan']"
aacqa_corporate_plan_2017_to_2021_v6.6.docx,FILE,"['FOLDER', 'CATEGORY']","['AACQA Corporate Plan', 'Corporate Plan']"
aacqa_corporate_plan_2017_to_2021_v6.6.pdf,FILE,"['FOLDER', 'CATEGORY']","['AACQA Corporate Plan', 'Corporate Plan']"
aacqa_corporate_plan_2018-19.pdf,FILE,"['FOLDER', 'CATEGORY']","['AACQA Corporate Plan', 'Corporate Plan']"
corporate_plan_2015-16.pdf,FILE,"['FOLDER', 'CATEGORY']","['AACQA Corporate Plan', 'Corporate Plan']"
Pilot Process Report - Draft Aged Care Quality Standards and Guidance -Word.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['AACQA Draft Guidance Material', 'Report', 'Draft Guidance Material']"
Pilot Process Report - Draft Aged Care Quality Standards and Guidance.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['AACQA Draft Guidance Material', 'Report', 'Draft Guidance Material']"
plug-in_report_-_consumer_consultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['AACQA Draft Guidance Material', 'Report', 'Draft Guidance Material']"
1-publiconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
10-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
100-with_attachments-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
101-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
11-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
13-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
14-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
15-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
17-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
2-with_attachments-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
21-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
22-with_attachments-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
24-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
25-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
26-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
27-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
28-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
29-with_attachments-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
3-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
30-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
31-with_attachments-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
33-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
34-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
35-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
36-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
37-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
39-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
40-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
42-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
43-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
44-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
45-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
48-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
49-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
50-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
51-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
52-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
53-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
54-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
55-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
56-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
57-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
58-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
59-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
60-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
61-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
62-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
63-with_attachments-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
64-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
65-with_attachments-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
67-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
68-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
69-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
7-with_attachments-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
70-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
73-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
75-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
76-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
77-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
78-publicconsultation.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Feedback', 'Draft Guidance Material', 'Feedback']"
